feature,importance
Curing Days,0.6030819491787063
SP (%),0.5963416856680552
NCA (%),0.282747682635378
RCA (%),0.15729738490894526
w/c,0.1021119315636687
Cement,0.052779128902788124
FA,0.024651926412905714
