feature,importance
Cement,0.587023512627107
Curing Days,0.475609237630057
w/c,0.2662677786573968
SP (%),0.07891897237862922
FA,0.07605244723017343
NCA (%),0.02394607133890675
RCA (%),0.023252722940106177
