feature,importance
NCA (%),0.7435899198245748
Curing Days,0.603993725485084
SP (%),0.549762728286591
RCA (%),0.5317555423784026
w/c,0.06820848132798957
Cement,0.029710023954557498
FA,-0.0027209167181784857
