feature,importance
Curing Days,0.585853201720958
SP (%),0.5293059453608631
w/c,0.08193411203311196
Cement,0.016912888138730736
RCA (%),0.005870290654266835
NCA (%),0.00587029065426678
FA,0.0012555742362313285
