feature,importance
Curing Days,0.4823369300303233
Cement,0.37744753402701176
SP (%),0.1706977460465041
w/c,0.1692782907373585
FA,0.07773194596406999
RCA (%),0.02724507543332004
NCA (%),0.023026553748361614
