feature,importance
w/c,0.8638941539060273
Cement,0.6764467079404706
Curing Days,0.4778674598416356
SP (%),0.3454210227255031
NCA (%),0.06467511383611704
RCA (%),0.05359798141043038
FA,0.018404717539234478
