feature,importance
w/c,0.15923172655660778
Curing Days,0.15892678470756644
SP (%),0.1288822937064781
Cement,0.053094856180813055
RCA (%),0.025047684222815267
NCA (%),0.02504768422281526
FA,0.020494289372115462
